# Logfile created on Sat Jan 30 10:21:48 +0000 2010 by logger.rb/22285
W, [2010-01-30 10:21:48#1827]  WARN -- : No setting defined for :sqlite3.
D, [2010-01-30 10:24:27#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:27#1937] DEBUG -- : Period = sometime
D, [2010-01-30 10:24:27#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:27#1937] DEBUG -- : 2010 00 31
D, [2010-01-30 10:24:27#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:27#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:27#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:27#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:27#1937] DEBUG -- : Period = tomorrow
D, [2010-01-30 10:24:27#1937] DEBUG -- : Period = yesterday
D, [2010-01-30 10:24:27#1937] DEBUG -- : Period = today
D, [2010-01-30 10:24:27#1937] DEBUG -- : Period = previously
D, [2010-01-30 10:24:27#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:27#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:27#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:27#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:27#1937] DEBUG -- : Doing it
D, [2010-01-30 10:24:27#1937] DEBUG -- : Tasks = []
D, [2010-01-30 10:24:32#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:32#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:32#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:32#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:32#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:24:32#1937] DEBUG -- : Period = sometime
D, [2010-01-30 10:24:32#1937] DEBUG -- : Period = today
D, [2010-01-30 10:24:32#1937] DEBUG -- : Period = yesterday
D, [2010-01-30 10:24:32#1937] DEBUG -- : Period = previously
D, [2010-01-30 10:24:32#1937] DEBUG -- : Period = tomorrow
D, [2010-01-30 10:24:32#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:32#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:32#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:32#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:32#1937] DEBUG -- : Access = public
D, [2010-01-30 10:24:32#1937] DEBUG -- : 2010 00 31
D, [2010-01-30 10:24:32#1937] DEBUG -- : Doing it
D, [2010-01-30 10:24:32#1937] DEBUG -- : Tasks = []
D, [2010-01-30 10:25:54#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:25:54#1937] DEBUG -- : Period = sometime
D, [2010-01-30 10:25:54#1937] DEBUG -- : Access = public
D, [2010-01-30 10:25:54#1937] DEBUG -- : 2010 00 31
D, [2010-01-30 10:25:54#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:25:54#1937] DEBUG -- : Period = previously
D, [2010-01-30 10:25:54#1937] DEBUG -- : Access = public
D, [2010-01-30 10:25:54#1937] DEBUG -- : Doing it
D, [2010-01-30 10:25:54#1937] DEBUG -- : Tasks = []
D, [2010-01-30 10:25:54#1937] DEBUG -- : Current user = 
D, [2010-01-30 10:25:54#1937] DEBUG -- : Period = yesterday
D, [2010-01-30 10:25:54#1937] DEBUG -- : Access = public
D, [2010-01-30 10:25:54#1937] DEBUG -- : Current user = 
